2018-11-19 21:00:01 Step 1 started, net: btc-testnet
2018-11-19 21:00:01 Step 1 completed, nb requests : 271, tx : 671e0cca238f8c7243186b67f3c30c06625f4fc64c52b8f882bb95f97e44c7eb, duration :0.176 seconds 
2018-11-19 22:00:01 Step 1 started, net: btc-testnet
2018-11-19 22:00:01 Step 1 completed,  zero requests to handle
2018-11-19 23:00:01 Step 1 started, net: btc-testnet
2018-11-19 23:00:02 Step 1 completed,  zero requests to handle
2018-11-20 00:00:01 Step 1 started, net: btc-testnet
2018-11-20 00:00:01 Step 1 completed,  zero requests to handle
2018-11-20 01:00:01 Step 1 started, net: btc-testnet
2018-11-20 01:00:01 Step 1 completed,  zero requests to handle
2018-11-20 02:00:01 Step 1 started, net: btc-testnet
2018-11-20 02:00:01 Step 1 completed,  zero requests to handle
2018-11-20 03:00:01 Step 1 started, net: btc-testnet
2018-11-20 03:00:01 Step 1 completed,  zero requests to handle
2018-11-20 04:00:01 Step 1 started, net: btc-testnet
2018-11-20 04:00:01 Step 1 completed,  zero requests to handle
2018-11-20 05:00:01 Step 1 started, net: btc-testnet
2018-11-20 05:00:01 Step 1 completed,  zero requests to handle
2018-11-20 06:00:01 Step 1 started, net: btc-testnet
2018-11-20 06:00:01 Step 1 completed,  zero requests to handle
2018-11-20 07:00:01 Step 1 started, net: btc-testnet
2018-11-20 07:00:01 Step 1 completed,  zero requests to handle
2018-11-20 08:00:01 Step 1 started, net: btc-testnet
2018-11-20 08:00:01 Step 1 completed,  zero requests to handle
2018-11-20 09:00:01 Step 1 started, net: btc-testnet
2018-11-20 09:00:01 Step 1 completed,  zero requests to handle
2018-11-20 10:00:02 Step 1 started, net: btc-testnet
2018-11-20 10:00:02 Step 1 completed,  zero requests to handle
